YEAR,ST,FES,CONP,ELEP,FINCP,FS,FULP,GASP,GRNTP,GRPIP,HINCP,INSP,MHP,MRGP,NOC,NP,NPF,NRC,OCPIP,RNTP,SMOCP,SMP,WATP
2005,27,0,10.72979953,47.35887345,0,18.05780347,119.769647,42.52256795,152.4577543,8.502029271,28559.4489,328.283114,44.47398844,219.1383594,0,0.923256672,0,0,15.32824991,153.5771738,395.4819825,16.96199729,107.8552454
2005,28,0,1.100489625,77.75285614,0,50.51527163,34.24761017,36.96129634,115.5929121,9.395896479,19405.28398,306.2527396,22.56656563,104.6649569,0,0.88855211,0,0,15.30170203,106.1319655,242.8981114,7.635812544,181.5954768
2005,29,0,4.804480863,57.98330049,0,49.61829686,53.233482,44.85623898,156.7709781,10.75500467,25458.60699,286.7380977,30.25433046,150.3047402,0,0.954672752,0,0,14.08712789,145.8110155,296.221865,10.61196971,159.7095737
2005,30,0,1.206313416,43.84554679,0,43.38331454,93.78184893,34.6843292,119.9949267,8.072717024,20272.208,250.6730552,77.40924464,122.9255919,0,0.816798196,0,0,13.01634724,117.7170237,257.5952649,8.089064262,118.8816234
2005,31,0,2.948671278,53.71933018,0,22.84382963,67.65562432,48.84710593,157.2642883,10.21769203,24987.67565,301.2988715,23.14524936,118.8496542,0,0.94685111,0,0,14.23079723,147.597379,282.7444485,8.223516564,156.6392428
2005,32,0,12.46536685,71.60159056,0,18.59799897,38.00769625,31.73935351,283.478707,14.01180092,36499.64161,267.5808107,110.2873268,311.4161108,0,1.025910723,0,0,15.05926116,286.4284248,477.5361724,20.75166752,185.0874808
2005,33,0,11.11259457,43.98887405,0,20.7859368,347.6048064,27.54917668,179.7427681,8.875389408,28789.25545,233.0129061,94.12550067,213.4401424,0,0.835336004,0,0,14.80329328,181.682243,430.8157543,15.54962172,61.05340454
2005,34,0,26.39302366,64.63184251,0,21.10274564,175.8742877,47.10386807,295.374115,13.34804006,40626.44958,304.0126058,46.39302366,287.8293904,0,0.982904507,0,0,18.25436021,304.1747539,583.3238646,20.5969608,175.1196685
2005,35,0,3.624887286,41.29516081,0,26.85813045,56.28704539,37.40516982,139.9380824,9.192966637,25527.44605,236.0613165,66.25308085,172.3745116,0,0.872858431,0,0,13.55755936,148.3420499,298.8818756,9.516080553,185.0700331
2005,36,0,23.07031301,61.82385502,0,63.35235585,199.8304119,39.13700165,349.6652718,16.19360791,36399.68787,252.636112,36.09943987,169.8403954,0,0.96461285,0,0,12.79242175,344.252916,375.1950906,11.09568369,82.20622735
2005,37,0,5.973181633,71.00548557,0,30.33197887,99.88927265,30.09691182,165.5409048,10.49810375,25975.82771,251.1919274,39.86577272,169.6313152,0,0.907151564,0,0,14.2960856,173.5140187,321.4798862,16.68305567,146.4839496
2005,38,0,2.144039735,49.94950331,0,48.21523179,124.1945364,33.7615894,122.8965232,9.753311258,21796.04222,234.5596026,26.67549669,75.73675497,0,0.894039735,0,0,12.4660596,120.3228477,212.9735099,3.476821192,159.955298
2005,39,0,8.978464628,55.88953359,0,53.10767686,80.8869114,58.24681991,185.6267016,12.16993975,28552.25167,254.1816559,44.52287436,179.5343673,0,1.00697389,0,0,15.81884624,179.9900692,367.4370676,17.2644499,170.689913
2005,40,0,1.807187873,62.00102197,0,40.61659002,40.3628002,38.03253279,121.6639414,9.004769205,20588.88128,310.7164027,15.94924204,101.7448476,0,0.861011753,0,0,13.41951967,115.77721,232.4454096,5.896780787,188.4711293
2005,41,0,5.716443529,54.0789564,0,78.67610711,73.27754892,22.70082389,247.8307587,15.1199794,30517.44542,235.5959492,146.9859252,225.0847923,0,1.08874013,0,0,15.19378647,247.5417096,393.0983522,18.81393752,207.479231
2005,42,0,6.370789896,51.7954591,0,42.72027867,230.6036488,43.82763633,174.4430634,10.87860866,26437.89836,244.0427025,50.33109463,144.6290096,0,0.927425822,0,0,15.00686648,166.2195269,332.6642442,11.76323176,167.0808941
2005,44,0,10.19883041,44.46140351,0,19.44035088,349.5216374,36.58947368,274.6555556,14.72923977,34861.15906,305.8479532,41.95321637,243.4093567,0,1.016374269,0,0,14.56666667,280.1836257,445.6795322,16.71345029,123.1660819
2005,45,0,6.761049724,75.89958564,0,34.39240331,55.82831492,24.17209945,140.0834254,9.072375691,24642.25843,314.9372928,41.85828729,163.9074586,0,0.885635359,0,0,14.6820442,165.1185083,314.3560773,14.84530387,169.8765193
2005,46,0,1.146304676,49.53921569,0,39.50527903,119.6410256,37.24736048,130.4449472,9.297888386,24113.65913,233.0693816,59.85972851,101.372549,0,0.913273002,0,0,12.54524887,120.2564103,244.586727,7.933634992,175.6055807
2005,47,0,4.746663773,73.36953456,0,63.54073994,49.10263643,26.5324943,159.4574156,10.85461647,25905.29153,287.7797548,28.62797006,161.1038299,0,0.973635673,0,0,14.82282738,155.6693067,306.3067159,10.91135944,157.0601063
2005,48,0,5.637025008,84.95479052,0,28.63871387,20.56674245,21.35267944,211.9481975,12.2810328,29285.79753,358.8235141,29.57388763,161.7214031,0,0.917050991,0,0,13.20152647,215.8155895,330.6502436,6.798635921,220.2790516
2005,49,0,9.696714406,38.17565291,0,28.78138163,36.72535805,39.11120472,180.9654591,10.53159225,28446.12342,213.7211457,67.09098568,208.5358045,0,0.99368155,0,0,14.04802022,183.1356361,346.8344566,17.39258635,178.699663
