"","YEAR","ST","FES","CONP","ELEP","FINCP","FS","FULP","GASP","GRNTP","GRPIP","HINCP","INSP","MHP","MRGP","NOC","NP","NPF","NRC","OCPIP","RNTP","SMOCP","SMP","WATP"
"1","2005",1,0,1.60111022997621,71.9102564102564,0,35.1755220724293,34.0759978852762,33.8378271213323,121.881839809675,9.28799894263812,21792.7687020883,290.685434840074,29.721120803595,121.759714512292,0,0.874173936029606,0,0,13.7799365582871,117.486915146709,250.711075865715,9.1329632566746,174.558419243986
"2","2005",2,0,7.75459098497496,39.3497495826377,0,42.237061769616,239.504173622705,18.3255425709516,171.347245409015,8.12687813021703,26142.5075125209,200.34223706177,44.1151919866444,156.636060100167,0,0.747078464106845,0,0,9.65776293823038,202.395659432387,265.513355592654,8.02170283806344,118.998330550918
"3","2005",4,0,11.3964984552008,66.4481977342945,0,27.8994850669413,21.5615859938208,17.6259526261586,204.057054582904,11.0442842430484,31491.8048403708,254.888980432544,105.094335736354,239.900720906282,0,0.966323377960865,0,0,14.2274974253347,209.411328527291,387.722451081359,19.6296601441813,203.254788877446
"4","2005",5,0,1.48546255506608,66.1482378854625,0,46.5920704845815,55.9497797356828,39.19140969163,116.066960352423,9.32709251101322,19678.4,253.095154185022,20.3422907488987,93.25859030837,0,0.8784140969163,0,0,13.8691629955947,106.699559471366,223.311013215859,5.50881057268722,192.053083700441
"5","2005",6,0,23.3209734533234,54.482869837833,0,9.86618399981956,25.8053995534204,27.6039199765433,409.84426100097,17.0715204005684,44609.7352775334,353.427566141146,130.039966619302,346.54996955139,0,1.0999842118321,0,0,15.2043665561495,417.720278773936,576.674109660103,32.8116020479509,214.536121072693
"6","2005",8,0,19.4359234376981,50.2029408036507,0,22.4442895170491,40.2943338826214,37.9523386994549,235.668525795411,12.8192419825073,34249.1063506148,317.950310559006,71.9368741285334,301.562682215743,0,1.00456331600963,0,0,15.5763721637723,244.047661300545,468.533654455571,25.2057294967677,175.175687666371
"7","2005",9,0,25.2446102819237,67.2813018242123,0,36.3422470978441,420.742537313433,35.5775290215589,272.04995854063,13.3573797678275,41642.7775704809,370.564676616915,21.2645107794362,296.260364842454,0,1.03710613598673,0,0,18.0099502487562,267.974709784411,572.946517412935,20.2072968490879,111.373341625207
"8","2005",10,0,8.52140077821012,59.9935149156939,0,21.0356679636835,184.779507133593,33.2068741893645,148.897535667964,8.21789883268482,28510.8028534371,221.712062256809,174.785992217899,202.470817120623,0,0.846952010376135,0,0,13.7405966277562,157.499351491569,365.082360570687,16.8028534370947,137.003891050584
"9","2005",11,0,51.7171093267449,43.0728844966028,0,26.4354539839407,26.9987646695491,40.5373687461396,492.742433600988,20.0092649783817,54546.7696108709,257.673872760964,0,367.32427424336,0,1.06423718344657,0,0,11.1167387276096,498.863495985176,553.059913526868,27.8628783199506,94.2989499691167
"10","2005",12,0,35.9938453963565,79.1149987690793,0,28.8777387986214,14.576778680453,8.27138724766125,200.937099950763,10.412758493353,31409.6523572132,469.29782127031,113.18629985229,228.970704086657,0,0.959164204825209,0,0,16.9988613983259,209.097058099458,439.440731166913,18.950086164451,192.146202609552
"11","2005",13,0,9.30577398337452,70.5717067325695,0,39.5794952445143,36.5767243316109,40.5314161611623,196.43083951172,11.3658353927956,30333.0887441024,261.450161012507,26.2985096981952,225.858608552385,0,0.947427544372051,0,0,14.6110237399835,203.151801093387,384.472627873886,19.5205571781622,172.495918520183
"12","2005",15,0,50.5611340815121,57.8405197873597,0,53.6314235085647,4.51565268753692,7.20378027170703,302.282339043119,13.0271707028943,33101.3591258122,280.985233313644,0.962787950383934,261.730655640874,0,0.932663910218547,0,0,12.6497341996456,331.709391612522,415.586532782044,17.3774365032487,155.660956881276
"13","2005",16,0,1.66412213740458,45.8737913486005,0,32.9175572519084,80.4844783715013,25.0895674300254,139.540458015267,9.3089058524173,24352.0279898219,222.631043256997,85.9867684478372,167.737404580153,0,0.949618320610687,0,0,14.3221374045802,138.144529262087,299.575572519084,11.8748091603053,174.021374045802
"14","2005",17,0,25.5756971007262,56.7954986418316,0,35.1252841066578,46.6168856366761,52.1750097012029,216.259382449138,12.0944065635567,34328.5949886357,290.92876545263,40.2846055768058,226.333388768779,0,1.00986750928544,0,0,16.6579078662897,219.903431454072,459.033926492599,16.4042352680304,148.787017018682
"15","2005",18,0,4.22226864424483,60.3010236055985,0,56.7198663045749,68.4628159598914,50.4049509087111,169.803739293921,11.2593482348026,27814.6964696052,309.492375182787,58.1345310215166,172.013578441613,0,1.01211614790056,0,0,15.2505744725298,167.148736160435,342.04459995822,12.9912262377272,169.812199707541
"16","2005",19,0,3.3868169991327,64.9145706851691,0,36.3362966175195,90.8319601040763,49.5691673894189,150.24197745013,10.6587163920208,26177.4579358196,278.351257588899,39.9835212489159,125.587597571552,0,1.04531656548135,0,0,15.5140936686904,134.610581092801,308.823503902862,11.5069384215091,206.357328707719
"17","2005",20,0,2.3754427390791,58.8432113341204,0,40.4824085005903,53.7780401416765,51.5985832349469,170.015584415584,11.8791027154664,26338.6729634002,326.850531286895,29.5815820543093,134.6186540732,0,0.978040141676505,0,0,13.4271546635183,158.019834710744,292.859031877214,9.32939787485242,197.246989374262
"18","2005",21,0,4.35167141358117,60.198021286164,0,65.5234597511617,58.0193374306701,34.1677409683706,135.128316594214,10.308499475341,24320.1677409684,276.779793134463,25.7019937040923,144.792384949783,0,0.945435466946485,0,0,14.2603807525109,128.461999700195,289.88712336981,13.6681157247789,182.974666466797
